date,province,subcategory,actual_inflation,svr_prediction,ann_prediction
2026-06-01,KEPULAUAN RIAU,Barang Pecah Belah dan Peralatan Makan Minum,0.0,0.07585600487913347,0.29114488022594864
2026-06-01,PAPUA BARAT,Total,0.56,-0.18918545020309274,0.01929868130005516
2026-06-01,SUMATERA BARAT,Total,0.43,0.1834325203846756,0.026366950781132548
2026-06-01,SULAWESI SELATAN,Peralatan dan Perlengkapan Perumahan dan Kebun,0.11,0.07600186985299295,0.032733321035808144
2026-06-01,DKI JAKARTA,Total,0.3,-0.1759545719599931,-0.04100879547249535
2026-06-01,BENGKULU,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,0.14,-0.13832909154458584,0.29396856359657364
2026-06-01,SULAWESI UTARA,Furnitur Perlengkapan dan Karpet,0.34,0.2717584425951767,0.0904373463800549
2026-06-01,PAPUA BARAT DAYA,Peralatan dan Perlengkapan Perumahan dan Kebun,0.0,-0.10399924484679879,0.024234283802062523
2026-06-01,SULAWESI SELATAN,Tekstil Rumah Tangga,-0.47,0.004463486467789934,0.015408810765982633
2026-06-01,KALIMANTAN BARAT,Total,0.06,-0.22997452244116978,-0.017722674836150865
2026-06-01,PAPUA BARAT,Furnitur Perlengkapan dan Karpet,0.08,0.06257040652935153,0.18060238281771737
2026-06-01,JAWA TIMUR,Peralatan dan Perlengkapan Perumahan dan Kebun,0.3,-0.2097347055863228,0.04814609721396218
2026-06-01,PAPUA BARAT,Peralatan dan Perlengkapan Perumahan dan Kebun,0.18,-0.1234427583873643,0.04369791683149535
2026-06-01,BALI,Peralatan Rumah Tangga,0.31,-0.017548099880281498,0.2172633436537789
2026-06-01,KALIMANTAN BARAT,Tekstil Rumah Tangga,0.0,-0.2910388587088395,0.008795717282285481
2026-06-01,SULAWESI UTARA,Peralatan Rumah Tangga,0.22,0.25397539183798834,0.08553734611616581
2026-06-01,GORONTALO,Barang dan Layanan untuk Pemeliharaan Rumah Tangga Rutin,-0.55,-0.1619637052361771,0.26214882686599095
2026-06-01,PAPUA BARAT,Peralatan Rumah Tangga,0.17,-0.013710009872548667,0.10126074925748049
2026-06-01,BALI,Tekstil Rumah Tangga,0.0,-0.1421235445285962,0.01647075675380369
2026-06-01,KALIMANTAN BARAT,Peralatan dan Perlengkapan Perumahan dan Kebun,0.0,-0.2117482235588941,0.048840890410588284
2026-06-01,PAPUA BARAT DAYA,Peralatan Rumah Tangga,0.18,0.0027609031927848804,0.08025605615213025
